Questions,Answers
1.   Why and how did I get diabetes?,"Diabetes occurs for a number of reasons, but the ultimate cause of the high blood sugar that characterizes the disorder is either deficiency of the hormone insulin or a combination of insulin deficiency and resistance of the body tissues to its actions. In response to food intake, insulin is released by specialized cells in the pancreas and is necessary for adequate amounts of glucose and other nutrients from food to be absorbed into certain tissues of the body. When insulin is lacking or the body resists its actions, the level of glucose in the blood becomes excessively high and diabetes is diagnosed. The difference in the balance between the two characterizes the two major forms of diabetes—type 1 and type 2"
2.   What is the difference between type 1 and type 2 diabetes?,"Type 1 and Type 2 diabetes are two distinct forms of diabetes, each with its own causes, characteristics, and management approaches. Here are the key differences between them:Type 1 Diabetes: This is an autoimmune condition. It occurs when the immune system mistakenly attacks and destroys the insulin-producing beta cells in the pancreas. The exact cause of this autoimmune response is not fully understood but is believed to involve genetic and environmental factors.Type 2 Diabetes: This form of diabetes is primarily linked to lifestyle and genetics. It often develops in people who are overweight or obese and have a family history of diabetes. Insulin resistance, where the body's cells don't respond effectively to insulin, and a relative lack of insulin production are characteristic of Type 2 diabetes."
3.   Can diabetes be cured?,"In general, we do not consider that diabetes can be cured once it has been diagnosed. People with type 2 diabetes can reverse the detectable abnormalities of diabetes by lifestyle adjustment without the use of medications."
4.   Is there such a thing as borderline diabetes? What is it?,The term borderline diabetes has now been replaced by the term prediabetes. Both terms indicate that a person has abnormalities in his or her plasma glucose levels that fall short of standard accepted definitions for frank diabetes.
5.   What’s the normal glucose level for a diabetic patient?,"Fasting blood sugar levels less than 100mg/dL is normal. Reading between 100 and 125 mg/dL is borderline (called pre-diabetes). 126 mg/dL and above signals diabetes.Postprandial blood sugar level less than 140 mg/dL is normal. Reading between 141 and 200mg/dL is borderline or pre-diabetes. 200 mg/dL and above signals diabetes.Besides, a random blood sugar test – irrespective of when you last ate – should always be less than 200 mg/dL. But if you are already diagnosed with the disease, your doctor would set new targets for you, and this new target will depend on your existing condition, as well as other factors.For  more  information  call  now  on  0800-66766  and  talk  to  our  certified  healthcare practitioner for free."
6.   Should I stop eating sugar altogether?,"Although you must be careful about your intake of added sugar, you don’t have to entirely eliminate it from your diet.Understand that sugar doesn’t ‘directly’ cause diabetes. It contains too many calories, which adds to your body weight. And the more weight you put on, the worse your diabetes will get. Hence, you should limit food and drinks that have added sugar."
7.   When do I need to take insulin dosage?,"It depends on your existing condition and what your doctor recommends.The first line of defense against diabetes is always lifestyle modification. If it’s not working well in reducing the blood sugar level, then medication is prescribed. If that too isn’t working, the doctor would usually recommend insulin dosages.To answer this question, we would say, “It depends on how high your blood sugar is and what your doctor suggests”.For assistance call now on 0800-66766 and talk to our certified healthcare practitioner for free."
8.   How can I lower my blood glucose level quickly?,"The first rule is to not let your blood glucose level spike too high in the first place. So, avoid a high-carb diet. But if the level has increased, go for a walk; walk for at least half an hour. Drink more water. Take a hot bath. Stay prepared by asking your doctor the right action plan. Based on your existing conditions and diabetes care and management plan, your doctor would tell you exactly what you should do if your blood glucose level spikes."
9.   What lifestyle modifications do I need to make?,"?    Lose excess weight – especially the deposited fat in the belly?    Exercise at least 5 days a week for 30 minutes every day?    After meals, go on a walk?    Have more fiber in your diet?    Avoid foods that would make add weight?    Start doing yoga and/or meditation to lower your stress level?    Manage your daily calorie intake"
10. Will taking my medicine correct the glucose level?,"Different people respond differently to diabetes medications. Ideally, after taking the medicine, within a time frame, the blood sugar level should come down. But it isn’t So, taking medicine alone isn’t guaranteed to control your diabetes. A lot of factors come into play here.assured. This means, relying on medicine alone isn’t sufficient. Medicine will only work effectively when you’re also mixing it with proper diet and adequate exercise."
11. What are the symptoms of high blood sugar level?,"There are several signs of an increased blood sugar level. It includes:?    Increase in thirst?    Urinating frequently?    Nausea?    Dry mouth?    Fruit-like breath odor?    Fatigue?    Blurred vision?    Rapid heartbeatHowever, if you do see these signs, they do not necessarily mean a high blood sugar level. There could be other reasons as well. You should visit a medical facility for proper diagnosis."
12. I feel thirty all the time? What does that mean?,"There are several signs of an increased blood sugar level. It includes:?    Increase in thirst?    Urinating frequently?    Nausea?    Dry mouth?    Fruit-like breath odor?    Fatigue?    Blurred vision?    Rapid heartbeatHowever, if you do see these signs, they do not necessarily mean a high blood sugar level. There could be other reasons as well. You should visit a medical facility for proper diagnosis."
13. I wake up 3 to 4 times every time to urinate. What does that mean ?,"There are several signs of an increased blood sugar level. It includes:?    Increase in thirst?    Urinating frequently?    Nausea?    Dry mouth?    Fruit-like breath odor?    Fatigue?    Blurred vision?    Rapid heartbeatHowever, if you do see these signs, they do not necessarily mean a high blood sugar level. There could be other reasons as well. You should visit a medical facility for proper diagnosis."
14. I feel fatigued all the time. What can be the reason?,"There are several signs of an increased blood sugar level. It includes:?    Increase in thirst?    Urinating frequently?    Nausea?    Dry mouth?    Fruit-like breath odor?    Fatigue?    Blurred vision?    Rapid heartbeatHowever, if you do see these signs, they do not necessarily mean a high blood sugar level. There could be other reasons as well. You should visit a medical facility for proper diagnosis."
